feature_fixed_acidity,feature_volatile_acidity,feature_citric_acid,feature_residual_sugar,feature_chlorides,feature_free_sulfur_dioxide,feature_total_sulfur_dioxide,feature_sulphates,feature_wine_type,intermediate_density,intermediate_ph,intermediate_alcohol,target_quality,ID_wine_type,ID_row
9.6,0.33,0.52,2.2,0.074,13.0,25.0,0.76,red,0.99509,3.36,12.4,7,red,940
9.9,0.27,0.49,5.0,0.082,9.0,17.0,0.52,red,0.99484,3.19,12.5,7,red,941
10.1,0.43,0.4,2.6,0.092,13.0,52.0,0.64,red,0.99834,3.22,10.0,7,red,942
9.8,0.5,0.34,2.3,0.094,10.0,45.0,0.6,red,0.99864,3.24,9.7,7,red,943
8.3,0.3,0.49,3.8,0.09,11.0,24.0,0.64,red,0.99498,3.27,12.1,7,red,944
10.2,0.44,0.42,2.0,0.071,7.0,20.0,0.79,red,0.99566,3.14,11.1,7,red,945
10.2,0.44,0.58,4.1,0.092,11.0,24.0,0.99,red,0.99745,3.29,12.0,7,red,946
8.3,0.28,0.48,2.1,0.093,6.0,12.0,0.62,red,0.99408,3.26,12.4,7,red,947
8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.76,red,0.99552,3.41,11.9,7,red,948
8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.76,red,0.99552,3.41,11.9,7,red,949
8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.76,red,0.99552,3.41,11.9,7,red,950
8.3,0.28,0.48,2.1,0.093,6.0,12.0,0.62,red,0.99408,3.26,12.4,7,red,951
8.2,0.31,0.4,2.2,0.058,6.0,10.0,0.68,red,0.99536,3.31,11.2,7,red,952
10.2,0.34,0.48,2.1,0.052,5.0,9.0,0.69,red,0.99458,3.2,12.1,7,red,953
7.6,0.43,0.4,2.7,0.082,6.0,11.0,0.54,red,0.99538,3.44,12.2,6,red,954
8.5,0.21,0.52,1.9,0.09,9.0,23.0,0.67,red,0.99648,3.36,10.4,5,red,955
9.0,0.36,0.52,2.1,0.111,5.0,10.0,0.62,red,0.99568,3.31,11.3,6,red,956
9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.58,red,0.99613,3.29,11.1,6,red,957
6.4,0.57,0.12,2.3,0.12,25.0,36.0,0.71,red,0.99519,3.47,11.3,7,red,958
8.0,0.59,0.05,2.0,0.089,12.0,32.0,0.61,red,0.99735,3.36,10.0,5,red,959
8.5,0.47,0.27,1.9,0.058,18.0,38.0,0.85,red,0.99518,3.16,11.1,6,red,960
7.1,0.56,0.14,1.6,0.078,7.0,18.0,0.62,red,0.99592,3.27,9.3,5,red,961
6.6,0.57,0.02,2.1,0.115,6.0,16.0,0.69,red,0.99654,3.38,9.5,5,red,962
8.8,0.27,0.39,2.0,0.1,20.0,27.0,0.69,red,0.99546,3.15,11.2,6,red,963
8.5,0.47,0.27,1.9,0.058,18.0,38.0,0.85,red,0.99518,3.16,11.1,6,red,964
8.3,0.34,0.4,2.4,0.065,24.0,48.0,0.86,red,0.99554,3.34,11.0,6,red,965
9.0,0.38,0.41,2.4,0.103,6.0,10.0,0.58,red,0.99604,3.13,11.9,7,red,966
8.5,0.66,0.2,2.1,0.097,23.0,113.0,0.48,red,0.99733,3.13,9.2,5,red,967
9.0,0.4,0.43,2.4,0.068,29.0,46.0,0.6,red,0.9943,3.2,12.2,6,red,968
6.7,0.56,0.09,2.9,0.079,7.0,22.0,0.61,red,0.99669,3.46,10.2,5,red,969
10.4,0.26,0.48,1.9,0.066,6.0,10.0,0.87,red,0.99724,3.33,10.9,6,red,970
10.4,0.26,0.48,1.9,0.066,6.0,10.0,0.87,red,0.99724,3.33,10.9,6,red,971
10.1,0.38,0.5,2.4,0.104,6.0,13.0,0.65,red,0.99643,3.22,11.6,7,red,972
8.5,0.34,0.44,1.7,0.079,6.0,12.0,0.63,red,0.99605,3.52,10.7,5,red,973
8.8,0.33,0.41,5.9,0.073,7.0,13.0,0.62,red,0.99658,3.3,12.1,7,red,974
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.52,red,0.997,3.44,9.4,5,red,975
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.52,red,0.997,3.44,9.4,5,red,976
8.4,0.59,0.29,2.6,0.109,31.0,119.0,0.5,red,0.99801,3.15,9.1,5,red,977
7.0,0.4,0.32,3.6,0.061,9.0,29.0,0.49,red,0.99416,3.28,11.3,7,red,978
12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.63,red,0.9969,3.13,10.4,5,red,979
9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.71,red,0.99774,3.32,10.5,6,red,980
9.5,0.86,0.26,1.9,0.079,13.0,28.0,0.62,red,0.99712,3.25,10.0,5,red,981
7.3,0.52,0.32,2.1,0.07,51.0,70.0,0.82,red,0.99418,3.34,12.9,6,red,982
9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.71,red,0.99774,3.32,10.5,6,red,983
12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.63,red,0.9969,3.13,10.4,5,red,984
7.4,0.58,0.0,2.0,0.064,7.0,11.0,0.58,red,0.99562,3.45,11.3,6,red,985
9.8,0.34,0.39,1.4,0.066,3.0,7.0,0.55,red,0.9947,3.19,11.4,7,red,986
7.1,0.36,0.3,1.6,0.08,35.0,70.0,0.5,red,0.99693,3.44,9.4,5,red,987
7.7,0.39,0.12,1.7,0.097,19.0,27.0,0.49,red,0.99596,3.16,9.4,5,red,988
9.7,0.295,0.4,1.5,0.073,14.0,21.0,0.51,red,0.99556,3.14,10.9,6,red,989
7.7,0.39,0.12,1.7,0.097,19.0,27.0,0.49,red,0.99596,3.16,9.4,5,red,990
7.1,0.34,0.28,2.0,0.082,31.0,68.0,0.48,red,0.99694,3.45,9.4,5,red,991
6.5,0.4,0.1,2.0,0.076,30.0,47.0,0.48,red,0.99554,3.36,9.4,6,red,992
7.1,0.34,0.28,2.0,0.082,31.0,68.0,0.48,red,0.99694,3.45,9.4,5,red,993
10.0,0.35,0.45,2.5,0.092,20.0,88.0,0.43,red,0.99918,3.15,9.4,5,red,994
7.7,0.6,0.06,2.0,0.079,19.0,41.0,0.62,red,0.99697,3.39,10.1,6,red,995
5.6,0.66,0.0,2.2,0.087,3.0,11.0,0.63,red,0.99378,3.71,12.8,7,red,996
5.6,0.66,0.0,2.2,0.087,3.0,11.0,0.63,red,0.99378,3.71,12.8,7,red,997
8.9,0.84,0.34,1.4,0.05,4.0,10.0,0.48,red,0.99554,3.12,9.1,6,red,998
6.4,0.69,0.0,1.65,0.055,7.0,12.0,0.53,red,0.99162,3.47,12.9,6,red,999
7.5,0.43,0.3,2.2,0.062,6.0,12.0,0.72,red,0.99495,3.44,11.5,7,red,1000
9.9,0.35,0.38,1.5,0.058,31.0,47.0,0.82,red,0.99676,3.26,10.6,7,red,1001
9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.84,red,0.99516,3.26,11.7,7,red,1002
6.8,0.36,0.32,1.8,0.067,4.0,8.0,0.55,red,0.9928,3.36,12.8,7,red,1003
8.2,0.43,0.29,1.6,0.081,27.0,45.0,0.54,red,0.99603,3.25,10.3,5,red,1004
6.8,0.36,0.32,1.8,0.067,4.0,8.0,0.55,red,0.9928,3.36,12.8,7,red,1005
9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.84,red,0.99516,3.26,11.7,7,red,1006
9.1,0.3,0.34,2.0,0.064,12.0,25.0,0.84,red,0.99516,3.26,11.7,7,red,1007
8.9,0.35,0.4,3.6,0.11,12.0,24.0,0.7,red,0.99549,3.23,12.0,7,red,1008
9.6,0.5,0.36,2.8,0.116,26.0,55.0,0.68,red,0.99722,3.18,10.9,5,red,1009
8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.55,red,0.99354,3.25,12.3,7,red,1010
8.9,0.32,0.31,2.0,0.088,12.0,19.0,0.55,red,0.9957,3.17,10.4,6,red,1011
7.7,1.005,0.15,2.1,0.102,11.0,32.0,0.48,red,0.99604,3.23,10.0,5,red,1012
7.5,0.71,0.0,1.6,0.092,22.0,31.0,0.58,red,0.99635,3.38,10.0,6,red,1013
8.0,0.58,0.16,2.0,0.12,3.0,7.0,0.58,red,0.99454,3.22,11.2,6,red,1014
10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.84,red,0.99598,3.06,11.4,6,red,1015
8.9,0.38,0.4,2.2,0.068,12.0,28.0,0.75,red,0.99486,3.27,12.6,7,red,1016
8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.44,red,0.99007,2.89,12.7,6,red,1017
8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.44,red,0.99007,2.89,12.7,6,red,1018
7.0,0.5,0.14,1.8,0.078,10.0,23.0,0.61,red,0.99636,3.53,10.4,5,red,1019
11.3,0.36,0.66,2.4,0.123,3.0,8.0,0.53,red,0.99642,3.2,11.9,6,red,1020
11.3,0.36,0.66,2.4,0.123,3.0,8.0,0.53,red,0.99642,3.2,11.9,6,red,1021
7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.54,red,0.99584,3.35,10.5,5,red,1022
8.2,0.32,0.42,2.3,0.098,3.0,9.0,0.55,red,0.99506,3.27,12.3,6,red,1023
7.7,0.58,0.01,1.8,0.088,12.0,18.0,0.56,red,0.99568,3.32,10.5,7,red,1024
8.6,0.83,0.0,2.8,0.095,17.0,43.0,0.6,red,0.99822,3.33,10.4,6,red,1025
7.9,0.31,0.32,1.9,0.066,14.0,36.0,0.56,red,0.99364,3.41,12.6,6,red,1026
6.4,0.795,0.0,2.2,0.065,28.0,52.0,0.52,red,0.99378,3.49,11.6,5,red,1027
7.2,0.34,0.21,2.5,0.075,41.0,68.0,0.54,red,0.99586,3.37,10.1,6,red,1028
7.7,0.58,0.01,1.8,0.088,12.0,18.0,0.56,red,0.99568,3.32,10.5,7,red,1029
7.1,0.59,0.0,2.1,0.091,9.0,14.0,0.55,red,0.99488,3.42,11.5,7,red,1030
7.3,0.55,0.01,1.8,0.093,9.0,15.0,0.58,red,0.99514,3.35,11.0,7,red,1031
8.1,0.82,0.0,4.1,0.095,5.0,14.0,0.53,red,0.99854,3.36,9.6,5,red,1032
7.5,0.57,0.08,2.6,0.089,14.0,27.0,0.59,red,0.99592,3.3,10.4,6,red,1033
8.9,0.745,0.18,2.5,0.077,15.0,48.0,0.47,red,0.99739,3.2,9.7,6,red,1034
10.1,0.37,0.34,2.4,0.085,5.0,17.0,0.65,red,0.99683,3.17,10.6,7,red,1035
7.6,0.31,0.34,2.5,0.082,26.0,35.0,0.59,red,0.99356,3.22,12.5,7,red,1036
7.3,0.91,0.1,1.8,0.074,20.0,56.0,0.56,red,0.99672,3.35,9.2,5,red,1037
8.7,0.41,0.41,6.2,0.078,25.0,42.0,0.77,red,0.9953,3.24,12.6,7,red,1038
8.9,0.5,0.21,2.2,0.088,21.0,39.0,0.83,red,0.99692,3.33,11.1,6,red,1039
7.4,0.965,0.0,2.2,0.088,16.0,32.0,0.67,red,0.99756,3.58,10.2,5,red,1040
6.9,0.49,0.19,1.7,0.079,13.0,26.0,0.64,red,0.99547,3.38,9.8,6,red,1041
8.9,0.5,0.21,2.2,0.088,21.0,39.0,0.83,red,0.99692,3.33,11.1,6,red,1042
9.5,0.39,0.41,8.9,0.069,18.0,39.0,0.81,red,0.99859,3.29,10.9,7,red,1043
6.4,0.39,0.33,3.3,0.046,12.0,53.0,0.62,red,0.99294,3.36,12.2,6,red,1044
6.9,0.44,0.0,1.4,0.07,32.0,38.0,0.58,red,0.99438,3.32,11.4,6,red,1045
7.6,0.78,0.0,1.7,0.076,33.0,45.0,0.62,red,0.99612,3.31,10.7,6,red,1046
7.1,0.43,0.17,1.8,0.082,27.0,51.0,0.64,red,0.99634,3.49,10.4,5,red,1047
9.3,0.49,0.36,1.7,0.081,3.0,14.0,0.78,red,0.99702,3.27,10.9,6,red,1048
9.3,0.5,0.36,1.8,0.084,6.0,17.0,0.77,red,0.99704,3.27,10.8,6,red,1049
7.1,0.43,0.17,1.8,0.082,27.0,51.0,0.64,red,0.99634,3.49,10.4,5,red,1050
8.5,0.46,0.59,1.4,0.414,16.0,45.0,1.34,red,0.99702,3.03,9.2,5,red,1051
5.6,0.605,0.05,2.4,0.073,19.0,25.0,0.55,red,0.99258,3.56,12.9,5,red,1052
8.3,0.33,0.42,2.3,0.07,9.0,20.0,0.77,red,0.99426,3.38,12.7,7,red,1053
8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.62,red,0.99747,3.13,9.1,6,red,1054
8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.62,red,0.99747,3.13,9.1,6,red,1055
8.9,0.48,0.53,4.0,0.101,3.0,10.0,0.59,red,0.99586,3.21,12.1,7,red,1056
7.6,0.42,0.25,3.9,0.104,28.0,90.0,0.57,red,0.99784,3.15,9.1,5,red,1057
9.9,0.53,0.57,2.4,0.093,30.0,52.0,0.76,red,0.9971,3.19,11.6,7,red,1058
8.9,0.48,0.53,4.0,0.101,3.0,10.0,0.59,red,0.99586,3.21,12.1,7,red,1059
11.6,0.23,0.57,1.8,0.074,3.0,8.0,0.7,red,0.9981,3.14,9.9,6,red,1060
9.1,0.4,0.5,1.8,0.071,7.0,16.0,0.69,red,0.99462,3.21,12.5,8,red,1061
8.0,0.38,0.44,1.9,0.098,6.0,15.0,0.64,red,0.9956,3.3,11.4,6,red,1062
10.2,0.29,0.65,2.4,0.075,6.0,17.0,0.63,red,0.99565,3.22,11.8,6,red,1063
8.2,0.74,0.09,2.0,0.067,5.0,10.0,0.57,red,0.99418,3.28,11.8,6,red,1064
7.7,0.61,0.18,2.4,0.083,6.0,20.0,0.6,red,0.9963,3.29,10.2,6,red,1065
6.6,0.52,0.08,2.4,0.07,13.0,26.0,0.72,red,0.99358,3.4,12.5,7,red,1066
11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.83,red,0.99572,3.02,10.9,7,red,1067
11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.83,red,0.99572,3.02,10.9,7,red,1068
8.0,0.62,0.35,2.8,0.086,28.0,52.0,0.62,red,0.997,3.31,10.8,5,red,1069
9.3,0.33,0.45,1.5,0.057,19.0,37.0,0.89,red,0.99498,3.18,11.1,7,red,1070
7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.58,red,0.99892,3.2,9.2,5,red,1071
7.2,0.35,0.26,1.8,0.083,33.0,75.0,0.58,red,0.9968,3.4,9.5,6,red,1072
8.0,0.62,0.33,2.7,0.088,16.0,37.0,0.58,red,0.9972,3.31,10.7,6,red,1073
7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.58,red,0.99892,3.2,9.2,5,red,1074
9.1,0.25,0.34,2.0,0.071,45.0,67.0,0.86,red,0.99769,3.44,10.2,7,red,1075
9.9,0.32,0.56,2.0,0.073,3.0,8.0,0.73,red,0.99534,3.15,11.4,6,red,1076
8.6,0.37,0.65,6.4,0.08,3.0,8.0,0.58,red,0.99817,3.27,11.0,5,red,1077
8.6,0.37,0.65,6.4,0.08,3.0,8.0,0.58,red,0.99817,3.27,11.0,5,red,1078
7.9,0.3,0.68,8.3,0.05,37.5,278.0,0.51,red,0.99316,3.01,12.3,7,red,1079
10.3,0.27,0.56,1.4,0.047,3.0,8.0,0.51,red,0.99471,3.16,11.8,6,red,1080
7.9,0.3,0.68,8.3,0.05,37.5,289.0,0.51,red,0.99316,3.01,12.3,7,red,1081
7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.59,red,0.99685,3.42,9.5,6,red,1082
8.7,0.42,0.45,2.4,0.072,32.0,59.0,0.77,red,0.99617,3.33,12.0,6,red,1083
7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.59,red,0.99685,3.42,9.5,6,red,1084
6.8,0.48,0.08,1.8,0.074,40.0,64.0,0.49,red,0.99529,3.12,9.6,5,red,1085
8.5,0.34,0.4,4.7,0.055,3.0,9.0,0.66,red,0.99738,3.38,11.6,7,red,1086
7.9,0.19,0.42,1.6,0.057,18.0,30.0,0.69,red,0.994,3.29,11.2,6,red,1087
11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.76,red,0.99735,3.02,9.9,7,red,1088
11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.76,red,0.99735,3.02,9.9,7,red,1089
10.0,0.26,0.54,1.9,0.083,42.0,74.0,0.63,red,0.99451,2.98,11.8,8,red,1090
7.9,0.34,0.42,2.0,0.086,8.0,19.0,0.6,red,0.99546,3.35,11.4,6,red,1091
7.0,0.54,0.09,2.0,0.081,10.0,16.0,0.59,red,0.99479,3.43,11.5,6,red,1092
9.2,0.31,0.36,2.2,0.079,11.0,31.0,0.86,red,0.99615,3.33,12.0,7,red,1093
6.6,0.725,0.09,5.5,0.117,9.0,17.0,0.49,red,0.99655,3.35,10.8,6,red,1094
9.4,0.4,0.47,2.5,0.087,6.0,20.0,0.5,red,0.99772,3.15,10.5,5,red,1095
6.6,0.725,0.09,5.5,0.117,9.0,17.0,0.49,red,0.99655,3.35,10.8,6,red,1096
8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.52,red,0.99666,3.2,9.4,5,red,1097
8.0,0.31,0.45,2.1,0.216,5.0,16.0,0.81,red,0.99358,3.15,12.5,7,red,1098
8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.52,red,0.99666,3.2,9.4,5,red,1099
8.4,0.34,0.42,2.1,0.072,23.0,36.0,0.78,red,0.99392,3.11,12.4,6,red,1100
7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.63,red,0.99388,3.35,12.0,6,red,1101
6.1,0.48,0.09,1.7,0.078,18.0,30.0,0.54,red,0.99402,3.45,11.2,6,red,1102
7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.63,red,0.99388,3.35,12.0,6,red,1103
8.0,0.48,0.34,2.2,0.073,16.0,25.0,0.66,red,0.9936,3.28,12.4,6,red,1104
6.3,0.57,0.28,2.1,0.048,13.0,49.0,0.6,red,0.99374,3.41,12.8,5,red,1105
8.2,0.23,0.42,1.9,0.069,9.0,17.0,0.54,red,0.99376,3.21,12.3,6,red,1106
9.1,0.3,0.41,2.0,0.068,10.0,24.0,0.85,red,0.99523,3.27,11.7,7,red,1107
8.1,0.78,0.1,3.3,0.09,4.0,13.0,0.49,red,0.99855,3.36,9.5,5,red,1108
10.8,0.47,0.43,2.1,0.171,27.0,66.0,0.76,red,0.9982,3.17,10.8,6,red,1109
8.3,0.53,0.0,1.4,0.07,6.0,14.0,0.64,red,0.99593,3.25,10.0,6,red,1110
5.4,0.42,0.27,2.0,0.092,23.0,55.0,0.64,red,0.99471,3.78,12.3,7,red,1111
7.9,0.33,0.41,1.5,0.056,6.0,35.0,0.71,red,0.99396,3.29,11.0,6,red,1112
8.9,0.24,0.39,1.6,0.074,3.0,10.0,0.59,red,0.99698,3.12,9.5,6,red,1113
5.0,0.4,0.5,4.3,0.046,29.0,80.0,0.66,red,0.9902,3.49,13.6,6,red,1114
7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.6,red,0.99572,3.38,11.3,6,red,1115
7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.6,red,0.99572,3.38,11.3,6,red,1116
7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.6,red,0.99572,3.38,11.3,6,red,1117
7.1,0.39,0.12,2.1,0.065,14.0,24.0,0.53,red,0.99252,3.3,13.3,6,red,1118
5.6,0.66,0.0,2.5,0.066,7.0,15.0,0.58,red,0.99256,3.52,12.9,5,red,1119
7.9,0.54,0.34,2.5,0.076,8.0,17.0,0.72,red,0.99235,3.2,13.1,8,red,1120
6.6,0.5,0.0,1.8,0.062,21.0,28.0,0.55,red,0.99352,3.44,12.3,6,red,1121
6.3,0.47,0.0,1.4,0.055,27.0,33.0,0.48,red,0.9922,3.45,12.3,6,red,1122
10.7,0.4,0.37,1.9,0.081,17.0,29.0,0.65,red,0.99674,3.12,11.2,6,red,1123
6.5,0.58,0.0,2.2,0.096,3.0,13.0,0.62,red,0.99557,3.62,11.5,4,red,1124
8.8,0.24,0.35,1.7,0.055,13.0,27.0,0.59,red,0.99394,3.14,11.3,7,red,1125
5.8,0.29,0.26,1.7,0.063,3.0,11.0,0.54,red,0.9915,3.39,13.5,6,red,1126
6.3,0.76,0.0,2.9,0.072,26.0,52.0,0.6,red,0.99379,3.51,11.5,6,red,1127
10.0,0.43,0.33,2.7,0.095,28.0,89.0,0.68,red,0.9984,3.22,10.0,5,red,1128
10.5,0.43,0.35,3.3,0.092,24.0,70.0,0.69,red,0.99798,3.21,10.5,6,red,1129
9.1,0.6,0.0,1.9,0.058,5.0,10.0,0.63,red,0.9977,3.18,10.4,6,red,1130
5.9,0.19,0.21,1.7,0.045,57.0,135.0,0.44,red,0.99341,3.32,9.5,5,red,1131
7.4,0.36,0.34,1.8,0.075,18.0,38.0,0.88,red,0.9933,3.38,13.6,7,red,1132
7.2,0.48,0.07,5.5,0.089,10.0,18.0,0.68,red,0.99684,3.37,11.2,7,red,1133
8.5,0.28,0.35,1.7,0.061,6.0,15.0,0.74,red,0.99524,3.3,11.8,7,red,1134
8.0,0.25,0.43,1.7,0.067,22.0,50.0,0.6,red,0.9946,3.38,11.9,6,red,1135
10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.76,red,0.99774,3.22,11.4,6,red,1136
10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.76,red,0.99774,3.22,11.4,6,red,1137
7.5,0.41,0.15,3.7,0.104,29.0,94.0,0.58,red,0.99786,3.14,9.1,5,red,1138
8.2,0.51,0.24,2.0,0.079,16.0,86.0,0.64,red,0.99764,3.34,9.5,6,red,1139
7.3,0.4,0.3,1.7,0.08,33.0,79.0,0.65,red,0.9969,3.41,9.5,6,red,1140
8.2,0.38,0.32,2.5,0.08,24.0,71.0,0.85,red,0.99624,3.27,11.0,6,red,1141
6.9,0.45,0.11,2.4,0.043,6.0,12.0,0.65,red,0.99354,3.3,11.4,6,red,1142
7.0,0.22,0.3,1.8,0.065,16.0,20.0,0.82,red,0.99672,3.61,10.0,6,red,1143
7.3,0.32,0.23,2.3,0.066,35.0,70.0,0.62,red,0.99588,3.43,10.1,5,red,1144
8.2,0.2,0.43,2.5,0.076,31.0,51.0,0.81,red,0.99672,3.53,10.4,6,red,1145
7.8,0.5,0.12,1.8,0.178,6.0,21.0,0.87,red,0.996,3.28,9.8,6,red,1146
10.0,0.41,0.45,6.2,0.071,6.0,14.0,0.49,red,0.99702,3.21,11.8,7,red,1147
7.8,0.39,0.42,2.0,0.086,9.0,21.0,0.66,red,0.99526,3.39,11.6,6,red,1148
10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.52,red,0.99585,3.23,12.0,6,red,1149
8.2,0.33,0.32,2.8,0.067,4.0,12.0,0.76,red,0.99473,3.3,12.8,7,red,1150
6.1,0.58,0.23,2.5,0.044,16.0,70.0,0.65,red,0.99352,3.46,12.5,6,red,1151
8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.53,red,0.99616,3.15,9.8,5,red,1152
9.6,0.42,0.35,2.1,0.083,17.0,38.0,0.66,red,0.99622,3.23,11.1,6,red,1153
6.6,0.58,0.0,2.2,0.1,50.0,63.0,0.68,red,0.99544,3.59,11.4,6,red,1154
8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.53,red,0.99616,3.15,9.8,5,red,1155
8.5,0.18,0.51,1.75,0.071,45.0,88.0,0.76,red,0.99524,3.33,11.8,7,red,1156
5.1,0.51,0.18,2.1,0.042,16.0,101.0,0.87,red,0.9924,3.46,12.9,7,red,1157
6.7,0.41,0.43,2.8,0.076,22.0,54.0,1.16,red,0.99572,3.42,10.6,6,red,1158
10.2,0.41,0.43,2.2,0.11,11.0,37.0,0.67,red,0.99728,3.16,10.8,5,red,1159
10.6,0.36,0.57,2.3,0.087,6.0,20.0,0.72,red,0.99676,3.14,11.1,7,red,1160
8.8,0.45,0.43,1.4,0.076,12.0,21.0,0.75,red,0.99551,3.21,10.2,6,red,1161
8.5,0.32,0.42,2.3,0.075,12.0,19.0,0.71,red,0.99434,3.14,11.8,7,red,1162
9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.67,red,0.99692,3.29,10.0,5,red,1163
9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.67,red,0.99692,3.29,10.0,5,red,1164
8.5,0.44,0.5,1.9,0.369,15.0,38.0,1.1,red,0.99634,3.01,9.4,5,red,1165
9.9,0.54,0.26,2.0,0.111,7.0,60.0,0.98,red,0.99709,2.94,10.2,5,red,1166
8.2,0.33,0.39,2.5,0.074,29.0,48.0,0.88,red,0.99528,3.32,12.4,7,red,1167
6.5,0.34,0.27,2.8,0.067,8.0,44.0,0.56,red,0.99384,3.21,12.0,6,red,1168
7.6,0.5,0.29,2.3,0.086,5.0,14.0,0.62,red,0.99502,3.32,11.5,6,red,1169
9.2,0.36,0.34,1.6,0.062,5.0,12.0,0.67,red,0.99667,3.2,10.5,6,red,1170
7.1,0.59,0.0,2.2,0.078,26.0,44.0,0.68,red,0.99522,3.42,10.8,6,red,1171
9.7,0.42,0.46,2.1,0.074,5.0,16.0,0.74,red,0.99649,3.27,12.3,6,red,1172
7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.62,red,0.99716,3.46,9.5,6,red,1173
7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.62,red,0.99716,3.46,9.5,6,red,1174
6.5,0.61,0.0,2.2,0.095,48.0,59.0,0.7,red,0.99541,3.61,11.5,6,red,1175
6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.5,red,0.99572,3.58,11.2,4,red,1176
7.1,0.66,0.0,2.4,0.052,6.0,11.0,0.66,red,0.99318,3.35,12.7,7,red,1177
5.6,0.915,0.0,2.1,0.041,17.0,78.0,0.73,red,0.99346,3.68,11.4,5,red,1178
8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.81,red,0.99599,3.27,11.0,6,red,1179
8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.81,red,0.99599,3.27,11.0,6,red,1180
9.8,0.39,0.43,1.65,0.068,5.0,11.0,0.46,red,0.99478,3.19,11.4,5,red,1181
10.2,0.4,0.4,2.5,0.068,41.0,54.0,0.86,red,0.99754,3.38,10.5,6,red,1182
6.8,0.66,0.07,1.6,0.07,16.0,61.0,0.6,red,0.99572,3.29,9.3,5,red,1183
6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.7,red,0.99538,3.36,10.9,5,red,1184
7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.46,red,0.99346,3.33,11.9,6,red,1185
6.6,0.8,0.03,7.8,0.079,6.0,12.0,0.5,red,0.9963,3.52,12.2,5,red,1186
7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.46,red,0.99346,3.33,11.9,6,red,1187
6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.7,red,0.99538,3.36,10.9,5,red,1188
8.8,0.955,0.05,1.8,0.075,5.0,19.0,0.44,red,0.99616,3.3,9.6,4,red,1189
9.1,0.4,0.57,4.6,0.08,6.0,20.0,0.57,red,0.99652,3.28,12.5,6,red,1190
6.5,0.885,0.0,2.3,0.166,6.0,12.0,0.51,red,0.99551,3.56,10.8,5,red,1191
7.2,0.25,0.37,2.5,0.063,11.0,41.0,0.8,red,0.99439,3.52,12.4,7,red,1192
6.4,0.885,0.0,2.3,0.166,6.0,12.0,0.51,red,0.99551,3.56,10.8,5,red,1193
7.0,0.745,0.12,1.8,0.114,15.0,64.0,0.59,red,0.99588,3.22,9.5,6,red,1194
6.2,0.43,0.22,1.8,0.078,21.0,56.0,0.6,red,0.99633,3.52,9.5,6,red,1195
7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.58,red,0.99686,3.21,9.5,6,red,1196
